customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,predicted_income,final_income,clt_categories
2763.519279,56274,69,32,5,0,1,384.811147,31385,56274,Very Low
6979.535903,0,94,13,42,0,8,1131.464935,32818,32818,Very Low
12887.43165,48767,108,18,38,0,2,566.472247,11885,48767,Very Low
7645.861827,0,106,18,65,0,7,529.881344,27804,27804,Very Low
2813.692575,43836,73,12,44,0,1,138.130879,25860,43836,Very Low
8256.2978,62902,69,14,94,0,2,159.383042,62902,62902,Very Low
5380.898636,55350,67,0,13,0,9,321.6,55350,55350,Very Low
7216.100311,0,101,0,68,0,4,363.02968,24450,24450,Very Low
24127.50402,14072,71,13,3,0,2,511.2,14072,14072,Low
7388.178085,28812,93,17,7,0,8,425.527834,28095,28812,Very Low
4738.992022,0,67,23,5,0,3,482.4,25398,25398,Very Low
8197.197078,0,110,27,87,0,3,528.0,27849,27849,Very Low
8798.797003,77026,110,9,82,2,3,472.029737,21450,77026,Very Low
8819.018934,99845,110,23,25,1,8,528.0,99845,99845,Very Low
5384.431665,83689,70,21,10,2,8,307.139132,44712,83689,Very Low
7463.139377,24599,64,12,50,1,2,42.920271,24599,24599,Very Low
2566.867823,25049,67,14,7,0,1,454.245098,25049,25049,Very Low
3945.241604,28855,101,12,59,0,1,647.442031,28855,28855,Very Low
5710.333115,51148,72,9,1,0,7,308.981664,48345,51148,Very Low
8162.617053,66140,101,11,21,0,3,484.8,48893,66140,Very Low
2872.051273,57749,74,31,21,0,1,355.2,26441,57749,Very Low
3041.791561,13789,79,8,49,0,1,379.2,13789,13789,Very Low
24127.50402,14072,71,13,3,0,2,511.2,14072,14072,Low
2450.190996,0,73,4,44,3,1,554.376763,20200,20200,Very Low
2392.10789,17870,61,30,91,0,1,439.2,10860,17870,Very Low
5802.065978,97541,72,22,1,0,3,389.185006,25398,97541,Very Low
3946.372085,0,111,15,47,0,1,799.2,21500,21500,Very Low
5346.916576,10511,139,33,64,0,1,516.237951,10511,10511,Very Low
12902.56014,86584,111,33,54,2,2,532.8,16969,86584,Very Low
3235.360468,75690,80,17,44,1,1,384.0,73137,75690,Very Low
2454.58354,23158,63,4,6,1,1,322.294043,23158,23158,Very Low
18975.45611,65999,237,1,14,0,6,615.927769,35322,65999,Low
4715.321344,0,65,19,56,0,3,308.15089,79814,79814,Very Low
5018.885233,54500,63,28,17,0,6,302.4,30376,54500,Very Low
4932.916345,37260,62,19,42,0,8,15.437681,22627,37260,Very Low
5744.229745,68987,71,11,40,0,6,204.475147,36510,68987,Very Low
13891.73567,42305,117,10,62,0,2,561.6,37695,42305,Very Low
7380.976717,65706,91,19,86,0,8,436.8,21726,65706,Very Low
3090.034104,0,90,7,79,0,1,648.0,29958,29958,Very Low
2521.633095,53243,66,4,15,2,1,157.397849,53243,53243,Very Low
2652.061785,0,70,7,1,1,1,484.318536,20075,20075,Very Low
2771.045031,50071,71,3,32,0,1,18.918935,50071,50071,Very Low
3939.00637,60021,99,12,28,0,1,882.871945,60021,60021,Very Low
12231.87968,43244,103,15,16,0,2,494.4,43244,43244,Very Low
